stop_transit_point_key,stopName,stop_latitude,stop_longitude
10309,WB CHURCHILL ST AT 80 ST,49.08233,"-123.00281"
1031,WB DAVIE ST AT RICHARDS ST,49.27617,"-123.12455"
10310,EB DERWENT WAY AT HUMBER PL,49.16523,"-122.94548"
10312,WB W GEORGIA ST AT GRANVILLE ST,49.28287,"-123.11852"
10313,WB W GEORGIA ST AT SEYMOUR ST,49.28174,"-123.11675"
10314,SB SCOTT RD AT PREDDY DR,49.10734,"-122.89051"
10316,SURREY CENTRAL STN BAY 12,49.18968,"-122.84776"
10317,WB 32 AV DIV AT 32 AV,49.06021,"-122.80752"
10318,SURREY CENTRAL STN BAY 13,49.18968,"-122.84757"
10319,EB CARNARVON ST AT QUAYSIDE DR,49.20072,"-122.91499"
1032,NB CAMBIE ST AT W 59 AV,49.21728,"-123.1166"
10321,SB 168 ST AT 80 AV,49.14624,"-122.75669"
10324,EB W 2 AV AT CAMBIE ST,49.26642,"-123.11493"
10325,WB 20 AV AT 14600 BLOCK,49.03851,"-122.81868"
10326,SB HOWE ST AT W PENDER ST BAY 2,49.28504,"-123.11634"
10328,SOUTH DELTA EXCHANGE BAY 3,49.03609,"-123.06698"
10329,EB W 16 AV AT WESBROOK MALL,49.25512,"-123.23764"
1033,NB OAK ST AT W 20 AV,49.25393,"-123.12723"
10330,NB GLOVER RD AT RAWLISON CRES,49.15447,"-122.59085"
10331,SB GLOVER RD AT RAWLISON CRES,49.15449,"-122.59104"
10332,WB W 16 AV AT WESBROOK MALL,49.25628,"-123.23495"
10333,NB WESBROOK MALL AT W 16 AV,49.2553,"-123.23582"
10337,NB MAIN ST AT E 20 AV,49.25322,"-123.10076"
10338,WB FRASER HWY AT 182 ST,49.13118,"-122.71879"
10340,PORT COQUITLAM CENTRE BAY 2,49.26256,"-122.78125"
10341,WB GRACE RD AT 103A AV,49.19022,"-122.894"
10342,WB GRACE RD AT 10200 BLOCK,49.18845,"-122.89615"
10343,NB MAIN ST AT E 18 AV,49.255,"-123.10098"
10345,EB GRACE RD AT 10200 BLOCK,49.18864,"-122.89555"
10348,EB RIVER RD PORT HANEY STN,49.21202,"-122.60421"
1035,NB BURRARD ST AT HELMCKEN ST,49.28033,"-123.12706"
10350,WB W CORDOVA ST AT SEYMOUR ST,49.28535,"-123.11163"
10351,SB NO. 4 RD AT ODLIN RD,49.18207,"-123.11408"
10352,MAPLE MEADOWS STN TRAINBUS,49.21668,"-122.66623"
10354,HANEY PLACE BAY 8,49.21951,"-122.59734"
10357,NB CAMBIE ST AT W 10 AV,49.26273,"-123.11465"
10358,HANEY PLACE BAY 7,49.2195,"-122.59709"
1036,SB N NANAIMO ST AT CAMBRIDGE ST,49.28627,"-123.05667"
10364,HANEY PLACE BAY 4,49.21943,"-122.59668"
10365,HANEY PLACE BAY 3,49.21942,"-122.59696"
10366,WB RIVER RD PORT HANEY STN,49.21274,"-122.60655"
10367,EB FRASER HWY AT 216 ST,49.09569,"-122.62394"
1037,SB N NANAIMO ST AT MCGILL ST,49.28802,"-123.05665"
10370,WB W PENDER ST AT BROUGHTON ST,49.28954,"-123.12694"
10372,WB W 2 AV AT CAMBIE ST,49.26624,"-123.11594"
10373,FLAGSTOP SB ON JACKSON RD,49.18553,"-122.53979"
10375,SB WILLINGDON AV AT STILL CREEK DR,49.26166,"-123.00344"
10376,FLAGSTOP EB 100 AV AT 25500 BLOCK,49.18388,"-122.51313"
10377,FLAGSTOP EB 100 AV AT 25300 BLOCK,49.18392,"-122.52316"
10378,FLAGSTOP EB 98 AV AT 26100 BLOCK,49.18025,"-122.49751"
10379,SB CEDAR DR AT INVERNESS ST,49.28283,"-122.73816"
1038,WB DUNDAS ST AT WALL ST,49.2849,"-123.06318"
10380,NB MOUNTAIN HWY AT E 27 ST,49.33273,"-123.03781"
10385,EB DOMINION AV AT ARCHBISHOP CARNEY,49.25832,"-122.75065"
10386,EB FRASER HWY AT 182 ST,49.13026,"-122.71708"
10387,EB 103A AV AT GRACE RD,49.19053,"-122.89258"
10389,NB ADMIRAL BLVD AT COVE INLET RD,49.1108,"-123.07208"
1039,WB DUNDAS ST AT N TEMPLETON DR,49.28487,"-123.06014"
10390,WB ADMIRAL WAY AT 5300 BLK,49.11203,"-123.07616"
10393,FLAGSTOP SB MT GARDNER RD,49.39571,"-123.36302"
10394,FLAGSTOP EB 98 AV AT 25800 BLOCK,49.18027,"-122.50712"
10395,SB STARLIGHT CASINO AT GIFFORD ST,49.18617,"-122.9545"
10396,CAPILANO UNIVERSITY BAY 1,49.31939,"-123.01893"
10397,WB W 41 AV AT ASH ST,49.2337,"-123.11744"
10398,WB EAST RD AT SUNNYSIDE RD,49.31458,"-122.85522"
1040,WB POWELL ST AT VICTORIA DR,49.28479,"-123.06597"
10400,NB TSAWWASSEN DR N AT EAGLE DR,49.03177,"-123.09743"
10401,EB EAST RD AT 2300 BLOCK,49.31448,"-122.84888"
10402,CAPILANO UNIVERSITY BAY 3,49.31939,"-123.01875"
10403,CAPILANO UNIVERSITY BAY 4,49.31938,"-123.01863"
10405,CAPILANO UNIVERSITY BAY 2,49.3192,"-123.01893"
10406,SB CAMBIE ST AT ROBSON ST,49.27799,"-123.1154"
10410,HANEY PLACE BAY 6,49.2195,"-122.59679"
10411,EDMONDS STN BAY 7,49.21204,"-122.9587"
10414,EB OXFORD CONNECTOR AT CAMBRIDGE ST,49.26509,"-122.77158"
10416,NB 52 ST AT 12 AV,49.0256,"-123.07967"
10417,HANEY PLACE BAY 2,49.21943,"-122.59729"
10419,NB WILLINGDON AV AT STILL CREEK DR,49.26165,"-123.00313"
10420,FLAGSTOP EB KEITH RD AT 3 ST,49.33234,"-123.12047"
10422,SB MAIN ST AT POWELL ST,49.28272,"-123.09972"
10423,FLAGSTOP EB 100 AV AT 24900 BLOCK,49.18393,"-122.53176"
10424,WB LOUGHEED HWY AT DOMINION AV,49.25833,"-122.75399"
10426,FLAGSTOP WB GRAFTON RD AT ARTISAN,49.38059,"-123.34891"
